Year,Runs
2007,149
2008,540
2009,247
2010,598
2011,691
2012,284
2013,1537
2014,1015
2015,1269
2016,1349
2017,1793
2018,1804
2019,2442
2020,311
2021,1420
2022,995
2023,1800
2024,1154
2025,302
